,EVA,,,,SBT,,,,FPF,,,,RPF,,,,MYF,,,,PXD,,,,VNF,,
Time,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration
0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
0.000150627,0.00E+00,0.00E+00,0.00E+00,,0.000055,0.066699,0,,0,0,0,,0,0,0,,0.000042,0.190536,0,,0.000021,0.089999,0,,0.000035,0.1,0
0.000300427,0.00E+00,1.96E-09,5.25E-08,,0.00011,0.133398,0.004099,,1.37E-18,1.50E-08,4.03E-07,,1.27E-17,1.25E-07,3.31E-06,,0.000084,0.381072,0.008882,,0.000042,0.179999,0.009224,,0.00007,0.2,0.008541
0.000450227,8.03E-15,2.34E-05,0.00046844,,0.000221,0.156075,0.020497,,5.35E-14,0.000147648,0.00291681,,2.93E-13,0.000752977,0.0146865,,0.000168,0.445854,0.044411,,0.000084,0.210599,0.046119,,0.00014,0.234,0.042703
0.000600023,2.91E-11,0.00220191,0.039026,,0.000552,0.001467,0.015988,,2.69E-10,0.010465,0.182887,,1.28E-09,0.0448943,0.777755,,0.00042,0.004192,0.034641,,0.00021,0.00198,0.035973,,0.00035,0.0022,0.033308
0.000750679,1.83E-09,0.0391433,0.629653,,0.001104,0.026079,0.258103,,8.17E-09,0.15978,2.53645,,3.33E-08,0.60182,9.4043,,0.00084,0.074499,0.559224,,0.00042,0.03519,0.580732,,0.0007,0.0391,0.537715
0.000900475,2.31E-08,0.294956,4.29861,,0.00552,0.196695,1.762203,,9.24E-08,1.10886,15.9293,,3.34E-07,3.54519,49.2339,,0.0042,0.56189,3.818106,,0.0021,0.265408,3.964956,,0.0035,0.2949,3.671256
0.00105027,1.58E-07,1.34923,17.5974,,0.01104,0.8999,7.213856,,5.92E-07,4.73819,60.5195,,1.86E-06,12.5353,149.502,,0.0084,2.570708,15.630022,,0.0042,1.214273,16.231177,,0.007,1.3492,15.028867
0.00120006,7.25E-07,4.39083,50.2647,,0.02208,2.928611,20.60563,,2.55E-06,14.2316,156.487,,6.83E-06,30.9417,299.61,,0.0168,8.366044,44.645532,,0.0084,3.951696,46.362667,,0.014,4.3908,42.928396
0.00135072,2.48E-06,11.0986,108.295,,0.0552,7.402633,44.393277,,8.14E-06,32.3744,289.684,,1.86E-05,58.5982,423.44,,0.042,21.146801,96.185433,,0.021,9.988679,99.884873,,0.035,11.0986,92.485993
0.00150052,6.70E-06,22.6639,181.191,,0.08832,15.116549,74.278491,,2.02E-05,58.2186,390.761,,3.96E-05,90.0318,431.437,,0.0672,43.182832,160.936731,,0.0336,20.397386,167.126606,,0.056,22.6639,154.746857
0.00165031,1.50E-05,38.9913,242.103,,0.13248,26.006729,99.248429,,4.07E-05,87.2189,391.792,,7.00E-05,117.716,307.079,,0.1008,74.292366,215.038262,,0.0504,35.091956,223.308964,,0.084,38.9913,206.767559
0.00180011,2.86E-05,58.3151,264.083,,0.19872,38.895472,108.259087,,6.99E-05,113.117,287.989,,0.000107165,136.795,139.76,,0.1512,111.111113,234.561356,,0.0756,52.48327,243.582946,,0.126,58.3151,225.539765
0.00195076,4.82E-05,78.1253,241.819,,0.276,52.108638,99.129544,,0.000105707,131.829,148.628,,0.000147893,148.099,46.6845,,0.21,148.856626,214.780678,,0.105,70.312341,223.041473,,0.175,78.1253,206.519882
0.00210058,7.30E-05,95.8506,193.846,,0.35328,63.9312,79.464335,,0.000144718,142.369,47.647,,0.000189678,156.933,79.8709,,0.2688,182.62966,172.172725,,0.1344,86.265014,178.794753,,0.224,95.8506,165.550697
0.00225039,0.000102225,110.108,140.05,,0.43056,73.440715,57.413228,,0.00018491,147.002,7.17598,,0.000233508,172.946,246.054,,0.3276,209.795104,124.395327,,0.1638,99.096595,129.179762,,0.273,110.108,119.610891
0.00240021,0.000134577,120.242,87.8496,,0.48576,80.198637,36.013528,,0.000225391,151.229,41.1722,,0.000283017,204.339,492.34,,0.3696,229.100186,78.029311,,0.1848,108.21534,81.030439,,0.308,120.24,75.028184
0.00255002,0.000168922,126.986,49.0181,,0.51888,84.698138,20.094835,,0.000267019,163.843,192.444,,0.000343878,251.901,694.977,,0.3948,241.953728,43.538808,,0.1974,114.286703,45.213378,,0.329,126.986,41.864239
0.0027007,0.000204666,133.513,59.7357,,0.54096,89.051569,24.488248,,0.000313473,192.865,455.084,,0.00041971,307.738,734.716,,0.4116,254.389996,53.057871,,0.2058,120.160967,55.098558,,0.343,133.513,51.017184
0.00285051,0.000241706,144.627,150.921,,0.54648,96.464473,61.869363,,0.000369857,238.785,695.865,,0.000511687,361.459,608.221,,0.4158,275.566139,134.050287,,0.2079,130.163506,139.206067,,0.3465,144.627,128.894507
0.003,0.000282137,163.901,292.728,,0.552,109.32,120,,0.000441368,293.157,741.959,,0.000617305,412.304,523.626,,0.42,312.29,260,,0.21,147.51,270,,0.35,163.901,250
