,EVA,,,,SBT,,,,FPF,,,,RPF,,,,MYF,,,,PXD,,,,VNF,,
Time,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration
0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
0.000150531,0,0.00E+00,0.00E+00,,0.001188,46720.67948,0,,0,0,0,,0,0,0,,0.00084,111217.8585,0,,0.00033,55948.54912,0,,0.000549,59718.63565,0
0.000300331,0.00E+00,1.05E-11,3.05E-10,,0.013068,46720.67948,0,,0,2.34E-10,6.86E-09,,0,6.35E-09,1.84E-07,,0.00924,111217.8585,0,,0.00363,55948.54912,0,,0.006039,59718.63565,0
0.000450131,1.96E-16,7.36E-07,1.55E-05,,0.051876,0,0.00000042,,4.02E-15,1.44E-05,0.000300104,,5.84E-14,0.0001856,0.00373659,,0.03668,0,0.00000089,,0.01441,0,0.00000052,,0.023973,0,0.00000049
0.000600788,9.03E-14,0.000183108,0.00339707,,0.312048,0.00000004,0.00010453,,2.73E-11,0.0023435,0.0424241,,4.11E-10,0.0158623,0.279576,,0.22064,0.0000001,0.00022169,,0.08668,0.00000005,0.00012977,,0.144204,0.00000005,0.00012256
0.000750583,1.84E-10,0.00602075,0.101958,,0.230868,0.00008597,0.00343692,,2.12E-09,0.0491209,0.802721,,1.25E-08,0.248934,3.97465,,0.16324,0.00020464,0.00728864,,0.06413,0.00010295,0.00426652,,0.106689,0.00010988,0.00402949
0.000900379,4.08E-09,0.0684633,1.05809,,0.150084,0.0019062,0.03908667,,2.97E-08,0.397768,5.87131,,1.44E-07,1.73476,24.9696,,0.10612,0.00453769,0.0828907,,0.04169,0.0022827,0.04852138,,0.069357,0.00243652,0.04582575
0.00105017,3.82E-08,0.403225,5.60999,,0.068508,0.0178473,0.23020789,,2.14E-07,1.87632,24.7265,,9.23E-07,7.24932,92.0647,,0.04844,0.04248522,0.4881995,,0.01903,0.02137235,0.28577531,,0.031659,0.02281252,0.26989891
0.00120083,2.16E-07,1.54264,18.8955,,0.032868,0.10091667,0.88071896,,1.01E-06,6.21565,71.6084,,3.93E-06,21.0077,225.827,,0.02324,0.24023057,1.86773159,,0.00913,0.12084887,1.0933063,,0.015189,0.12899225,1.03256706
0.00135062,8.43E-07,4.28894,45.0075,,0.024552,0.39385533,2.44862754,,3.48E-06,15.6061,152.42,,1.20E-05,45.0792,383.176,,0.01736,0.93756655,5.19277908,,0.00682,0.47164627,3.03967556,,0.011346,0.5034281,2.8708047
0.00150042,2.50E-06,9.42921,81.8247,,0.016632,1.16801699,5.38331073,,9.41E-06,31.4972,248.593,,2.86E-05,76.5379,463.445,,0.01176,2.78044646,11.41633137,,0.00462,1.39871373,6.68273056,,0.007686,1.49296589,6.31146775
0.00165021,5.99E-06,17.2251,118.336,,0.08514,2.7985687,9.83409751,,2.09E-05,52.9993,315.594,,5.53E-05,108.025,396.679,,0.0602,6.66194972,20.85506885,,0.02365,3.35131809,12.20784518,,0.039345,3.57714628,11.52963156
0.00180001,1.21E-05,27.1614,140.882,,0.04356,5.65320222,15.50689726,,3.92E-05,76.7419,314.217,,9.06E-05,132.028,220.114,,0.0308,13.45736088,32.88531661,,0.0121,6.76977444,19.24994143,,0.02013,7.22595491,18.18050024
0.00195067,2.14E-05,38.2751,144.074,,0.264132,9.99822541,21.85189436,,6.47E-05,98.5411,244.661,,0.000131217,145.98,57.1447,,0.18676,23.80062172,46.34108632,,0.07337,11.97298951,27.12648955,,0.122061,12.77978803,25.61946235
0.00210048,3.39E-05,49.4464,134.707,,0.191268,15.83831035,28.22977626,,9.55E-05,115.058,148.833,,0.000173049,152.257,3.58616,,0.13524,37.70285403,59.86659448,,0.05313,18.96655815,35.04386018,,0.088389,20.24461748,33.09697906
0.0022503,4.94E-05,60.1484,123.533,,0.13464,23.08001567,34.33972694,,0.000129684,125.452,67.9805,,0.00021504,156.937,46.484,,0.0952,54.9416221,72.82390369,,0.0374,27.63858327,42.62862655,,0.06222,29.50100601,40.26036952
0.00240011,6.77E-05,70.1039,113.915,,0.241956,31.62990001,40.0234883,,0.000165426,130.475,15.4916,,0.000258247,168.55,190.048,,0.17108,75.2944902,84.8773976,,0.06721,37.87716775,49.6843303,,0.111813,40.42951633,46.92408973
0.00255079,8.86E-05,79.171,101.604,,0.316008,41.39452202,45.20004725,,0.000201782,132.635,2.66663,,0.000306202,196.093,430.648,,0.22344,98.53902263,95.85527261,,0.08778,49.57041452,56.11040348,,0.146034,52.91071118,52.99315884
0.0027006,0.000111711,87.1565,85.4737,,0.281556,52.19213826,49.75910268,,0.000237994,136.655,44.3728,,0.000363608,242.134,689.065,,0.19908,124.2425819,105.5236143,,0.07821,62.50068371,61.76992056,,0.130113,66.71228507,58.33825831
0.00285042,0.000136742,94.3643,73.7424,,0.373032,63.88679154,53.87415618,,0.00027539,148.883,188.354,,0.000436203,300.164,804.449,,0.26376,152.0815241,114.2503657,,0.10362,76.50516504,66.87826284,,0.172386,81.66045676,63.16280379
0.003,0.000163418,101.591,78.8764,,0.396,76.35,58,,0.000317077,174.061,398.674,,0.000526304,356.076,662.416,,0.28,181.75,123,,0.11,91.43,72,,0.183,97.591,68
